epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1728,0.62544,0.74,1,0.47838,0.00014,0.00014,0.08614
2,14.7544,0.42304,0.88,1,0.28129,0.000289717,0.000289717,0.0712897
3,16.2875,0.29759,0.94,1,0.21474,0.000438283,0.000438283,0.0564383
4,17.8334,0.25628,0.92,1,0.13274,0.000584827,0.000584827,0.0415848
5,19.2559,0.24225,0.94,1,0.11066,0.000728492,0.000728492,0.0267285
6,22.4603,0.20629,0.96,1,0.09216,0.000868438,0.000868438,0.0118684
7,26.4913,0.18599,0.92,1,0.10718,0.000965239,0.000965239,0.000965239
8,30.4982,0.17337,0.96,1,0.07585,0.000952889,0.000952889,0.000952889
9,34.4704,0.22047,0.96,1,0.08374,0.000938772,0.000938772,0.000938772
10,38.4896,0.13307,0.96,1,0.10987,0.000922942,0.000922942,0.000922942
11,42.5896,0.16551,0.98,1,0.05251,0.000905463,0.000905463,0.000905463
12,46.6299,0.14162,1,1,0.07698,0.000886404,0.000886404,0.000886404
13,50.7305,0.10678,0.94,1,0.08819,0.000865839,0.000865839,0.000865839
14,54.7457,0.1065,0.94,1,0.10616,0.000843851,0.000843851,0.000843851
15,58.7177,0.088,0.98,1,0.06893,0.000820525,0.000820525,0.000820525
16,62.6927,0.13238,0.98,1,0.05182,0.000795954,0.000795954,0.000795954
17,66.6732,0.05428,0.94,1,0.08672,0.000770234,0.000770234,0.000770234
18,70.6375,0.10396,0.94,1,0.11337,0.000743468,0.000743468,0.000743468
19,74.6354,0.10491,0.96,1,0.08476,0.000715761,0.000715761,0.000715761
20,78.6324,0.19276,0.96,1,0.05046,0.000687222,0.000687222,0.000687222
21,82.5788,0.05979,1,1,0.04097,0.000657963,0.000657963,0.000657963
22,86.5666,0.05943,0.98,1,0.03895,0.000628101,0.000628101,0.000628101
23,90.547,0.04448,1,1,0.03628,0.000597754,0.000597754,0.000597754
24,94.5271,0.06627,0.98,1,0.03758,0.00056704,0.00056704,0.00056704
25,98.476,0.09399,0.98,1,0.04547,0.000536081,0.000536081,0.000536081
26,102.448,0.06115,0.98,1,0.05912,0.000505,0.000505,0.000505
27,106.421,0.09309,0.96,1,0.04247,0.000473919,0.000473919,0.000473919
28,110.468,0.089,1,1,0.04099,0.00044296,0.00044296,0.00044296
29,114.421,0.02899,1,1,0.0349,0.000412246,0.000412246,0.000412246
30,118.448,0.03779,1,1,0.03922,0.000381899,0.000381899,0.000381899
31,122.441,0.07124,1,1,0.04822,0.000352037,0.000352037,0.000352037
32,126.43,0.04306,0.98,1,0.05102,0.000322778,0.000322778,0.000322778
33,130.363,0.06205,0.98,1,0.04744,0.000294239,0.000294239,0.000294239
34,134.345,0.089,0.98,1,0.04653,0.000266532,0.000266532,0.000266532
35,138.337,0.03288,0.98,1,0.05699,0.000239766,0.000239766,0.000239766
36,142.299,0.04595,0.96,1,0.05034,0.000214046,0.000214046,0.000214046
37,146.239,0.04189,0.96,1,0.05532,0.000189475,0.000189475,0.000189475
38,150.227,0.05579,0.96,1,0.04956,0.000166149,0.000166149,0.000166149
39,154.201,0.04344,0.96,1,0.05858,0.000144161,0.000144161,0.000144161
40,158.175,0.05703,0.96,1,0.05156,0.000123596,0.000123596,0.000123596
41,213.456,0.07667,0.96,1,0.06166,0.000104537,0.000104537,0.000104537
42,215.318,0.02783,0.96,1,0.06049,8.70577e-05,8.70577e-05,8.70577e-05
43,216.691,0.02965,0.96,1,0.04514,7.12282e-05,7.12282e-05,7.12282e-05
44,218.12,0.03348,0.98,1,0.05344,5.71106e-05,5.71106e-05,5.71106e-05
45,219.561,0.03911,0.96,1,0.05777,4.47606e-05,4.47606e-05,4.47606e-05
46,221.077,0.04908,0.98,1,0.04821,3.4227e-05,3.4227e-05,3.4227e-05
47,225.071,0.0473,0.98,1,0.04634,2.55513e-05,2.55513e-05,2.55513e-05
48,229.095,0.05208,0.96,1,0.05183,1.87678e-05,1.87678e-05,1.87678e-05
49,233.04,0.02599,0.98,1,0.0424,1.39032e-05,1.39032e-05,1.39032e-05
50,237.033,0.0659,0.98,1,0.03669,1.09768e-05,1.09768e-05,1.09768e-05
