epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.8475,0.60885,0.9,1,0.41117,0.00014,0.00014,0.08614
2,14.6719,0.41739,0.84,1,0.30337,0.000289717,0.000289717,0.0712897
3,16.0861,0.35444,0.88,1,0.24344,0.000438283,0.000438283,0.0564383
4,19.1552,0.29347,0.9,1,0.21296,0.000584827,0.000584827,0.0415848
5,23.1625,0.27686,0.92,1,0.18315,0.000728492,0.000728492,0.0267285
6,27.1858,0.25329,0.94,1,0.14826,0.000868438,0.000868438,0.0118684
7,31.4517,0.19289,0.98,1,0.10587,0.000965239,0.000965239,0.000965239
8,35.4898,0.21647,0.98,1,0.11125,0.000952889,0.000952889,0.000952889
9,39.5421,0.24569,0.94,1,0.15272,0.000938772,0.000938772,0.000938772
10,43.6005,0.20662,0.94,1,0.14507,0.000922942,0.000922942,0.000922942
11,47.7035,0.15784,0.94,1,0.1641,0.000905463,0.000905463,0.000905463
12,51.7398,0.13192,0.98,1,0.1202,0.000886404,0.000886404,0.000886404
13,55.6713,0.1154,0.98,1,0.08183,0.000865839,0.000865839,0.000865839
14,59.6188,0.08202,0.98,1,0.06926,0.000843851,0.000843851,0.000843851
15,63.5716,0.083,0.98,1,0.0537,0.000820525,0.000820525,0.000820525
16,67.4815,0.09754,0.98,1,0.05641,0.000795954,0.000795954,0.000795954
17,71.4117,0.09483,0.98,1,0.06762,0.000770234,0.000770234,0.000770234
18,75.3559,0.1155,0.98,1,0.05943,0.000743468,0.000743468,0.000743468
19,79.2426,0.0872,0.98,1,0.06264,0.000715761,0.000715761,0.000715761
20,83.3516,0.13502,0.98,1,0.04609,0.000687222,0.000687222,0.000687222
21,87.6085,0.07859,0.98,1,0.0883,0.000657963,0.000657963,0.000657963
22,91.6727,0.06978,0.98,1,0.05457,0.000628101,0.000628101,0.000628101
23,95.9934,0.06718,0.98,1,0.08,0.000597754,0.000597754,0.000597754
24,100.359,0.05269,0.98,1,0.04499,0.00056704,0.00056704,0.00056704
25,104.581,0.06373,0.98,1,0.04068,0.000536081,0.000536081,0.000536081
26,108.685,0.05644,1,1,0.04117,0.000505,0.000505,0.000505
27,112.814,0.11335,0.98,1,0.04388,0.000473919,0.000473919,0.000473919
28,117.155,0.06679,0.98,1,0.03334,0.00044296,0.00044296,0.00044296
29,121.345,0.04134,0.98,1,0.03938,0.000412246,0.000412246,0.000412246
30,125.662,0.02591,0.96,1,0.0952,0.000381899,0.000381899,0.000381899
31,129.897,0.06212,0.96,1,0.08329,0.000352037,0.000352037,0.000352037
32,134.312,0.04007,0.96,1,0.09675,0.000322778,0.000322778,0.000322778
33,138.462,0.04825,0.96,1,0.1256,0.000294239,0.000294239,0.000294239
34,142.775,0.11666,0.96,1,0.13914,0.000266532,0.000266532,0.000266532
35,146.946,0.03235,0.96,1,0.12471,0.000239766,0.000239766,0.000239766
36,151.461,0.03462,0.96,1,0.10053,0.000214046,0.000214046,0.000214046
37,155.55,0.04075,0.96,1,0.11271,0.000189475,0.000189475,0.000189475
38,159.837,0.09635,0.96,1,0.08758,0.000166149,0.000166149,0.000166149
39,164.134,0.04141,0.96,1,0.08845,0.000144161,0.000144161,0.000144161
40,168.463,0.07437,0.96,1,0.06167,0.000123596,0.000123596,0.000123596
41,273.648,0.04476,0.96,1,0.0588,0.000104537,0.000104537,0.000104537
42,277.93,0.02781,0.98,1,0.06767,8.70577e-05,8.70577e-05,8.70577e-05
43,282.25,0.03967,0.98,1,0.04763,7.12282e-05,7.12282e-05,7.12282e-05
44,286.609,0.01737,0.98,1,0.05052,5.71106e-05,5.71106e-05,5.71106e-05
45,291.033,0.03396,0.98,1,0.04261,4.47606e-05,4.47606e-05,4.47606e-05
46,295.494,0.05962,0.98,1,0.05787,3.4227e-05,3.4227e-05,3.4227e-05
47,299.984,0.02791,0.98,1,0.03938,2.55513e-05,2.55513e-05,2.55513e-05
48,304.505,0.04912,0.96,1,0.04602,1.87678e-05,1.87678e-05,1.87678e-05
49,308.905,0.03995,0.98,1,0.05792,1.39032e-05,1.39032e-05,1.39032e-05
50,313.152,0.06928,0.98,1,0.04167,1.09768e-05,1.09768e-05,1.09768e-05
