epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,246.039,1.2023,0.65417,0.99414,1.00359,0.000332893,0.000332893,0.0670436
2,439.964,0.94591,0.73148,0.99619,0.72871,0.000666064,0.000666064,0.0340434
3,613.773,0.80817,0.77423,0.99327,0.67293,0.000998583,0.000998583,0.00104262
4,773.226,0.72586,0.8082,0.99854,0.5672,0.000997803,0.000997803,0.000997803
5,925.318,0.63496,0.79502,0.99941,0.58347,0.000996097,0.000996097,0.000996097
6,1084,0.59074,0.85329,0.99883,0.41596,0.000993906,0.000993906,0.000993906
7,1238.86,0.54821,0.88228,0.99854,0.34553,0.000991232,0.000991232,0.000991232
8,1289.84,0.5022,0.88023,0.99941,0.34166,0.000988079,0.000988079,0.000988079
9,1340.3,0.462,0.89488,0.99971,0.30528,0.000984449,0.000984449,0.000984449
10,1391.84,0.43758,0.9022,0.99941,0.28818,0.000980345,0.000980345,0.000980345
11,1443.02,0.40282,0.91069,0.99912,0.28534,0.000975773,0.000975773,0.000975773
12,1494.36,0.38811,0.9183,1,0.23545,0.000970736,0.000970736,0.000970736
13,1546.65,0.39192,0.92445,1,0.22214,0.000965239,0.000965239,0.000965239
14,1598.27,0.34505,0.9142,0.99971,0.23865,0.000959289,0.000959289,0.000959289
15,1649.66,0.3309,0.90454,1,0.27433,0.000952889,0.000952889,0.000952889
16,1703.83,0.34222,0.93734,0.99941,0.1798,0.000946048,0.000946048,0.000946048
17,1760.9,0.3123,0.91362,0.99912,0.24304,0.000938772,0.000938772,0.000938772
18,1814.2,0.30432,0.94407,1,0.17299,0.000931067,0.000931067,0.000931067
19,1867.94,0.28996,0.9388,0.99971,0.17169,0.000922942,0.000922942,0.000922942
20,1921.68,0.28084,0.94671,1,0.15708,0.000914405,0.000914405,0.000914405
21,1982.8,0.27689,0.94817,1,0.16071,0.000905463,0.000905463,0.000905463
22,2040.38,0.28528,0.94407,1,0.1719,0.000896127,0.000896127,0.000896127
23,2094.12,0.27147,0.95461,1,0.15027,0.000886404,0.000886404,0.000886404
24,2147.93,0.24363,0.95198,1,0.14121,0.000876305,0.000876305,0.000876305
25,2219.42,0.24712,0.95227,1,0.14492,0.000865839,0.000865839,0.000865839
26,2295.64,0.24542,0.95725,1,0.13032,0.000855018,0.000855018,0.000855018
27,2392.13,0.23269,0.95432,1,0.13796,0.000843851,0.000843851,0.000843851
28,2445.72,0.22882,0.96574,1,0.11603,0.000832349,0.000832349,0.000832349
29,2496.76,0.21744,0.9634,1,0.12661,0.000820525,0.000820525,0.000820525
30,2548.43,0.21562,0.9634,0.99971,0.12232,0.000808389,0.000808389,0.000808389
31,2599.64,0.20089,0.96486,1,0.11799,0.000795954,0.000795954,0.000795954
32,2650.98,0.19479,0.96164,1,0.12327,0.000783231,0.000783231,0.000783231
33,2701.53,0.21039,0.96574,1,0.11472,0.000770234,0.000770234,0.000770234
34,2752.78,0.19826,0.96779,1,0.11472,0.000756976,0.000756976,0.000756976
35,2804.23,0.18383,0.96428,1,0.12,0.000743468,0.000743468,0.000743468
36,2855.56,0.17955,0.97013,1,0.11414,0.000729725,0.000729725,0.000729725
37,2908.08,0.19533,0.96837,1,0.1142,0.000715761,0.000715761,0.000715761
38,2957.76,0.17567,0.96633,1,0.09817,0.000701588,0.000701588,0.000701588
39,3010.71,0.16384,0.97365,1,0.096,0.000687222,0.000687222,0.000687222
40,3061.35,0.1642,0.97189,1,0.09432,0.000672675,0.000672675,0.000672675
41,3113.57,0.16505,0.97013,1,0.10194,0.000657963,0.000657963,0.000657963
42,3165.68,0.15692,0.96867,1,0.1036,0.000643101,0.000643101,0.000643101
43,3218.06,0.14931,0.97013,1,0.10272,0.000628101,0.000628101,0.000628101
44,3270.94,0.14326,0.96984,1,0.10013,0.000612981,0.000612981,0.000612981
45,3324.06,0.1471,0.97042,1,0.10481,0.000597754,0.000597754,0.000597754
46,3377.43,0.15261,0.97072,1,0.09734,0.000582435,0.000582435,0.000582435
47,3431.22,0.14219,0.96984,1,0.09161,0.00056704,0.00056704,0.00056704
48,3484.27,0.13033,0.96984,1,0.0997,0.000551584,0.000551584,0.000551584
49,3537.34,0.13331,0.97218,1,0.0936,0.000536081,0.000536081,0.000536081
50,3589.95,0.13071,0.97335,1,0.09477,0.000520548,0.000520548,0.000520548
51,3643.78,0.13634,0.97247,1,0.09759,0.000505,0.000505,0.000505
52,3695.83,0.11612,0.97423,1,0.09718,0.000489452,0.000489452,0.000489452
53,3747.79,0.11468,0.97452,1,0.09438,0.000473919,0.000473919,0.000473919
54,3801.36,0.11187,0.97452,1,0.09402,0.000458416,0.000458416,0.000458416
55,3853.46,0.11959,0.9716,1,0.09438,0.00044296,0.00044296,0.00044296
56,3919.48,0.10775,0.97335,1,0.09256,0.000427565,0.000427565,0.000427565
57,3980.82,0.11815,0.97365,1,0.09313,0.000412246,0.000412246,0.000412246
58,4032.28,0.11003,0.97423,1,0.09479,0.000397019,0.000397019,0.000397019
59,4086.4,0.10217,0.97394,1,0.09454,0.000381899,0.000381899,0.000381899
60,4140.93,0.10425,0.97423,1,0.09537,0.000366899,0.000366899,0.000366899
61,4195.32,0.09501,0.97365,1,0.09608,0.000352037,0.000352037,0.000352037
62,4248.56,0.09523,0.97335,1,0.09787,0.000337325,0.000337325,0.000337325
63,4303.08,0.09858,0.97482,1,0.09785,0.000322778,0.000322778,0.000322778
64,4356.95,0.09383,0.97482,0.99971,0.0967,0.000308412,0.000308412,0.000308412
65,4410.74,0.08543,0.97335,0.99971,0.09536,0.000294239,0.000294239,0.000294239
66,4464.63,0.08423,0.97306,0.99971,0.09337,0.000280275,0.000280275,0.000280275
67,4518.43,0.08681,0.97423,1,0.09235,0.000266532,0.000266532,0.000266532
68,4570.12,0.07706,0.97452,1,0.09121,0.000253024,0.000253024,0.000253024
69,4624.15,0.09026,0.9754,1,0.09022,0.000239766,0.000239766,0.000239766
70,4677.85,0.07724,0.97628,1,0.08978,0.000226769,0.000226769,0.000226769
71,4731.14,0.06703,0.97657,1,0.08993,0.000214046,0.000214046,0.000214046
72,4785.52,0.07224,0.97657,1,0.09041,0.000201611,0.000201611,0.000201611
73,4838.94,0.06922,0.97745,1,0.08908,0.000189475,0.000189475,0.000189475
74,4893.3,0.07165,0.97687,1,0.08912,0.000177651,0.000177651,0.000177651
75,4947.25,0.0712,0.97657,1,0.08897,0.000166149,0.000166149,0.000166149
76,5000.75,0.07063,0.97687,1,0.08888,0.000154982,0.000154982,0.000154982
77,5054.79,0.06663,0.97628,1,0.0888,0.000144161,0.000144161,0.000144161
78,5108.68,0.0702,0.97599,1,0.08894,0.000133695,0.000133695,0.000133695
79,5162.3,0.06117,0.9757,1,0.0893,0.000123596,0.000123596,0.000123596
80,5216.14,0.06023,0.97511,1,0.08941,0.000113873,0.000113873,0.000113873
81,5270.59,0.0653,0.97511,1,0.08945,0.000104537,0.000104537,0.000104537
82,5326.86,0.06339,0.9754,1,0.08918,9.55951e-05,9.55951e-05,9.55951e-05
83,5381.03,0.06054,0.97511,1,0.08941,8.70577e-05,8.70577e-05,8.70577e-05
84,5434.66,0.06246,0.97511,1,0.08914,7.89327e-05,7.89327e-05,7.89327e-05
85,5488.47,0.05159,0.97511,1,0.08929,7.12282e-05,7.12282e-05,7.12282e-05
86,5542.57,0.06116,0.97511,1,0.08943,6.39518e-05,6.39518e-05,6.39518e-05
87,5596.76,0.05598,0.97482,1,0.08944,5.71106e-05,5.71106e-05,5.71106e-05
88,5648.98,0.07352,0.97482,1,0.08973,5.07115e-05,5.07115e-05,5.07115e-05
89,5703.04,0.06853,0.97511,1,0.08939,4.47606e-05,4.47606e-05,4.47606e-05
90,5757.22,0.05984,0.9754,1,0.08929,3.9264e-05,3.9264e-05,3.9264e-05
91,6003.68,0.05387,0.9757,1,0.08972,3.4227e-05,3.4227e-05,3.4227e-05
92,6173.29,0.05665,0.9757,1,0.08915,2.96546e-05,2.96546e-05,2.96546e-05
93,6344.48,0.04717,0.9757,1,0.0893,2.55513e-05,2.55513e-05,2.55513e-05
94,6508.11,0.05698,0.9757,1,0.08912,2.19212e-05,2.19212e-05,2.19212e-05
95,6659.05,0.06284,0.9757,1,0.08914,1.87678e-05,1.87678e-05,1.87678e-05
