epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,56.4656,1.25048,0.47906,0.98917,1.34483,0.000332673,0.000332673,0.0670653
2,195.075,1.02012,0.72504,0.99766,0.79368,0.000665844,0.000665844,0.0340652
3,340.164,0.90554,0.76105,0.99502,0.74133,0.000998364,0.000998364,0.00106437
4,484.529,0.8106,0.76223,0.99824,0.66732,0.000997803,0.000997803,0.000997803
5,627.586,0.73814,0.73704,0.99912,0.69811,0.000996097,0.000996097,0.000996097
6,775.051,0.67826,0.82401,0.99619,0.52705,0.000993906,0.000993906,0.000993906
7,922.074,0.63498,0.83514,0.99736,0.49336,0.000991232,0.000991232,0.000991232
8,1066.17,0.60042,0.85974,0.99824,0.42722,0.000988079,0.000988079,0.000988079
9,1210.29,0.55696,0.86647,0.99883,0.37116,0.000984449,0.000984449,0.000984449
10,1355.47,0.5271,0.87233,0.99941,0.36969,0.000980345,0.000980345,0.000980345
11,1500.98,0.50335,0.89165,0.99971,0.32561,0.000975773,0.000975773,0.000975773
12,1646.21,0.48803,0.88931,0.99971,0.32271,0.000970736,0.000970736,0.000970736
13,1791.75,0.46794,0.89546,0.99941,0.30135,0.000965239,0.000965239,0.000965239
14,1936.35,0.43008,0.9104,0.99971,0.25768,0.000959289,0.000959289,0.000959289
15,2079.71,0.43321,0.90688,0.99912,0.2835,0.000952889,0.000952889,0.000952889
16,2222.82,0.41299,0.90015,0.99854,0.28174,0.000946048,0.000946048,0.000946048
17,2366.42,0.38916,0.90659,0.99971,0.27594,0.000938772,0.000938772,0.000938772
18,2509.73,0.37962,0.91977,0.99971,0.23653,0.000931067,0.000931067,0.000931067
19,2653.3,0.36725,0.89722,0.99971,0.28235,0.000922942,0.000922942,0.000922942
20,2797.23,0.35671,0.93382,1,0.19278,0.000914405,0.000914405,0.000914405
21,2940.7,0.33751,0.93119,1,0.20267,0.000905463,0.000905463,0.000905463
22,3084.21,0.33996,0.92826,0.99971,0.20581,0.000896127,0.000896127,0.000896127
23,3227.5,0.33841,0.93997,0.99971,0.1824,0.000886404,0.000886404,0.000886404
24,3370.86,0.31811,0.92562,1,0.2063,0.000876305,0.000876305,0.000876305
