filename,confidence,decision,area_px,equiv_diameter_px,pct_of_frame,diameter_mm,area_mm2,size_category
1.png,0.8947,polyp (marked),10801,117.3,0.91,5.3,21.9,small (6-9mm)
10.png,0.9381,polyp (marked),11594,121.5,0.98,5.5,23.5,small (6-9mm)
100.png,0.8979,polyp (marked),16192,143.6,1.37,6.5,32.8,small (6-9mm)
101.png,0.6274,uncertain (circle),,,,,,
102.png,0.7373,uncertain (circle),,,,,,
103.png,0.2441,uncertain (circle),,,,,,
104.png,0.9112,polyp (marked),14870,137.6,1.26,6.2,30.1,small (6-9mm)
105.png,0.9999,polyp (marked),106828,368.8,9.03,16.6,216.3,large (>=10mm)
106.png,0.9999,polyp (marked),105602,366.7,8.92,16.5,213.8,large (>=10mm)
107.png,0.9999,polyp (marked),107481,369.9,9.08,16.6,217.6,large (>=10mm)
108.png,0.9988,polyp (marked),144784,429.4,12.24,19.3,293.2,large (>=10mm)
109.png,0.9999,polyp (marked),106582,368.4,9.01,16.6,215.8,large (>=10mm)
11.png,0.9934,polyp (marked),28441,190.3,2.4,8.6,57.6,small (6-9mm)
110.png,1.0,polyp (marked),34250,208.8,2.89,9.4,69.4,small (6-9mm)
111.png,1.0,polyp (marked),40044,225.8,3.38,10.2,81.1,large (>=10mm)
112.png,1.0,polyp (marked),28104,189.2,2.37,8.5,56.9,small (6-9mm)
113.png,1.0,polyp (marked),197308,501.2,16.67,22.6,399.5,large (>=10mm)
114.png,1.0,polyp (marked),207307,513.8,17.52,23.1,419.8,large (>=10mm)
115.png,1.0,polyp (marked),200397,505.1,16.93,22.7,405.8,large (>=10mm)
116.png,1.0,polyp (marked),278275,595.2,23.52,26.8,563.5,large (>=10mm)
117.png,1.0,polyp (marked),198243,502.4,16.75,22.6,401.4,large (>=10mm)
118.png,1.0,polyp (marked),186988,487.9,15.8,22.0,378.7,large (>=10mm)
119.png,0.9998,polyp (marked),221627,531.2,18.73,23.9,448.8,large (>=10mm)
12.png,0.8509,polyp (marked),10126,113.5,0.86,5.1,20.5,small (6-9mm)
120.png,0.9999,polyp (marked),233711,545.5,19.75,24.5,473.3,large (>=10mm)
121.png,0.9931,polyp (marked),20395,161.1,1.72,7.3,41.3,small (6-9mm)
122.png,0.9179,polyp (marked),11148,119.1,0.94,5.4,22.6,small (6-9mm)
123.png,0.6241,uncertain (circle),,,,,,
124.png,1.0,polyp (marked),122995,395.7,10.39,17.8,249.1,large (>=10mm)
125.png,1.0,polyp (marked),120909,392.4,10.22,17.7,244.8,large (>=10mm)
126.png,0.9964,polyp (marked),21557,165.7,1.82,7.5,43.7,small (6-9mm)
127.png,0.9849,polyp (marked),12600,126.7,1.06,5.7,25.5,small (6-9mm)
128.png,0.8209,uncertain (circle),,,,,,
129.png,0.842,uncertain (circle),,,,,,
13.png,0.9972,polyp (marked),61403,279.6,5.19,12.6,124.3,large (>=10mm)
130.png,0.9966,polyp (marked),13199,129.6,1.12,5.8,26.7,small (6-9mm)
131.png,0.9849,polyp (marked),12600,126.7,1.06,5.7,25.5,small (6-9mm)
132.png,0.8647,polyp (marked),10127,113.6,0.86,5.1,20.5,small (6-9mm)
133.png,1.0,polyp (marked),29949,195.3,2.53,8.8,60.6,small (6-9mm)
134.png,0.9999,polyp (marked),26260,182.9,2.22,8.2,53.2,small (6-9mm)
135.png,0.9803,polyp (marked),12675,127.0,1.07,5.7,25.7,small (6-9mm)
136.png,1.0,polyp (marked),43792,236.1,3.7,10.6,88.7,large (>=10mm)
137.png,0.9998,polyp (marked),25011,178.5,2.11,8.0,50.6,small (6-9mm)
138.png,0.9845,polyp (marked),12918,128.2,1.09,5.8,26.2,small (6-9mm)
139.png,0.9853,polyp (marked),16104,143.2,1.36,6.4,32.6,small (6-9mm)
14.png,0.9997,polyp (marked),61945,280.8,5.23,12.6,125.4,large (>=10mm)
140.png,0.9854,polyp (marked),12584,126.6,1.06,5.7,25.5,small (6-9mm)
141.png,0.9945,polyp (marked),19318,156.8,1.63,7.1,39.1,small (6-9mm)
142.png,0.9997,polyp (marked),17661,150.0,1.49,6.7,35.8,small (6-9mm)
143.png,0.9039,polyp (marked),12911,128.2,1.09,5.8,26.1,small (6-9mm)
144.png,0.9889,polyp (marked),15488,140.4,1.31,6.3,31.4,small (6-9mm)
145.png,0.9861,polyp (marked),18492,153.4,1.56,6.9,37.4,small (6-9mm)
146.png,0.9948,polyp (marked),19121,156.0,1.62,7.0,38.7,small (6-9mm)
147.png,0.9998,polyp (marked),22446,169.1,1.9,7.6,45.5,small (6-9mm)
148.png,0.0047,uncertain (circle),,,,,,
149.png,0.999,polyp (marked),15065,138.5,1.27,6.2,30.5,small (6-9mm)
15.png,0.9986,polyp (marked),120001,390.9,10.14,17.6,243.0,large (>=10mm)
150.png,1.0,polyp (marked),52212,257.8,4.41,11.6,105.7,large (>=10mm)
151.png,0.9519,polyp (marked),11757,122.3,0.99,5.5,23.8,small (6-9mm)
152.png,0.6829,uncertain (circle),,,,,,
153.png,0.9982,polyp (marked),25749,181.1,2.18,8.1,52.1,small (6-9mm)
154.png,0.9988,polyp (marked),167543,461.9,14.16,20.8,339.3,large (>=10mm)
155.png,0.9992,polyp (marked),20556,161.8,1.74,7.3,41.6,small (6-9mm)
156.png,0.9998,polyp (marked),188091,489.4,15.89,22.0,380.9,large (>=10mm)
157.png,0.998,polyp (marked),182927,482.6,15.46,21.7,370.4,large (>=10mm)
158.png,0.9943,polyp (marked),21207,164.3,1.79,7.4,42.9,small (6-9mm)
159.png,0.9998,polyp (marked),52523,258.6,4.44,11.6,106.4,large (>=10mm)
16.png,0.9992,polyp (marked),83544,326.1,7.06,14.7,169.2,large (>=10mm)
160.png,0.9989,polyp (marked),57011,269.4,4.82,12.1,115.4,large (>=10mm)
161.png,0.9999,polyp (marked),84413,327.8,7.13,14.8,170.9,large (>=10mm)
162.png,0.9999,polyp (marked),52055,257.4,4.4,11.6,105.4,large (>=10mm)
163.png,0.9995,polyp (marked),53580,261.2,4.53,11.8,108.5,large (>=10mm)
164.png,0.9998,polyp (marked),72182,303.2,6.1,13.6,146.2,large (>=10mm)
165.png,1.0,polyp (marked),17912,151.0,1.51,6.8,36.3,small (6-9mm)
166.png,1.0,polyp (marked),27932,188.6,2.36,8.5,56.6,small (6-9mm)
167.png,1.0,polyp (marked),31629,200.7,2.67,9.0,64.0,small (6-9mm)
168.png,0.9999,polyp (marked),18640,154.1,1.58,6.9,37.7,small (6-9mm)
169.png,0.7095,uncertain (circle),,,,,,
17.png,0.9931,polyp (marked),67409,293.0,5.7,13.2,136.5,large (>=10mm)
170.png,0.9737,polyp (marked),12954,128.4,1.09,5.8,26.2,small (6-9mm)
171.png,0.9996,polyp (marked),107187,369.4,9.06,16.6,217.1,large (>=10mm)
