epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.77055,0.62507,0.72,1,0.47397,0.00014,0.00014,0.08614
2,11.7015,0.42238,0.88,1,0.28219,0.000289717,0.000289717,0.0712897
3,13.341,0.29797,0.94,1,0.21258,0.000438283,0.000438283,0.0564383
4,14.7982,0.25674,0.92,1,0.13227,0.000584827,0.000584827,0.0415848
5,16.1716,0.24159,0.96,1,0.10974,0.000728492,0.000728492,0.0267285
6,17.4832,0.20705,0.96,1,0.08909,0.000868438,0.000868438,0.0118684
7,18.7364,0.18461,0.92,1,0.10198,0.000965239,0.000965239,0.000965239
8,20.1046,0.17447,0.96,1,0.07401,0.000952889,0.000952889,0.000952889
9,21.3756,0.21797,0.96,1,0.07852,0.000938772,0.000938772,0.000938772
10,22.6716,0.13444,0.96,1,0.09836,0.000922942,0.000922942,0.000922942
11,24.0845,0.16905,1,1,0.04609,0.000905463,0.000905463,0.000905463
12,25.5793,0.14458,1,1,0.07528,0.000886404,0.000886404,0.000886404
13,26.9485,0.10999,0.92,1,0.09233,0.000865839,0.000865839,0.000865839
14,28.2992,0.10626,0.94,1,0.11209,0.000843851,0.000843851,0.000843851
15,29.6466,0.09118,0.96,1,0.0696,0.000820525,0.000820525,0.000820525
16,31.0125,0.13362,0.98,1,0.05032,0.000795954,0.000795954,0.000795954
17,32.8411,0.05822,0.94,1,0.08218,0.000770234,0.000770234,0.000770234
18,34.0635,0.11103,0.94,1,0.10543,0.000743468,0.000743468,0.000743468
19,35.2749,0.10191,0.96,1,0.07434,0.000715761,0.000715761,0.000715761
20,36.5189,0.19181,0.96,1,0.05709,0.000687222,0.000687222,0.000687222
21,37.6293,0.0543,0.98,1,0.05932,0.000657963,0.000657963,0.000657963
22,38.7878,0.05768,0.96,1,0.06447,0.000628101,0.000628101,0.000628101
23,40.1021,0.04395,0.98,1,0.05256,0.000597754,0.000597754,0.000597754
24,41.449,0.06947,0.98,1,0.04573,0.00056704,0.00056704,0.00056704
25,42.6116,0.09645,0.98,1,0.04982,0.000536081,0.000536081,0.000536081
26,43.7403,0.06384,0.96,1,0.07375,0.000505,0.000505,0.000505
27,44.9026,0.10784,0.96,1,0.06014,0.000473919,0.000473919,0.000473919
28,46.0562,0.0891,0.98,1,0.05432,0.00044296,0.00044296,0.00044296
29,47.1936,0.03179,0.98,1,0.04579,0.000412246,0.000412246,0.000412246
30,48.856,0.04005,0.96,1,0.04512,0.000381899,0.000381899,0.000381899
31,50.0109,0.07403,0.96,1,0.06079,0.000352037,0.000352037,0.000352037
32,51.1452,0.03707,0.96,1,0.06571,0.000322778,0.000322778,0.000322778
33,52.7853,0.06646,0.96,1,0.064,0.000294239,0.000294239,0.000294239
34,53.9132,0.08534,0.96,1,0.06018,0.000266532,0.000266532,0.000266532
35,55.1238,0.03282,0.96,1,0.07176,0.000239766,0.000239766,0.000239766
36,56.3035,0.04964,0.96,1,0.05453,0.000214046,0.000214046,0.000214046
37,57.3959,0.039,0.96,1,0.06236,0.000189475,0.000189475,0.000189475
38,59.3968,0.05439,0.96,1,0.05513,0.000166149,0.000166149,0.000166149
39,60.4819,0.04279,0.96,1,0.06313,0.000144161,0.000144161,0.000144161
40,61.5753,0.05482,0.96,1,0.0547,0.000123596,0.000123596,0.000123596
41,96.9418,0.08158,0.98,1,0.0711,0.000104537,0.000104537,0.000104537
42,98.4065,0.02385,0.98,1,0.06814,8.70577e-05,8.70577e-05,8.70577e-05
43,99.5161,0.02629,0.96,1,0.05227,7.12282e-05,7.12282e-05,7.12282e-05
44,100.804,0.03254,0.98,1,0.05652,5.71106e-05,5.71106e-05,5.71106e-05
45,101.894,0.03251,0.98,1,0.05628,4.47606e-05,4.47606e-05,4.47606e-05
46,103.021,0.04323,0.96,1,0.05126,3.4227e-05,3.4227e-05,3.4227e-05
47,104.187,0.03819,0.98,1,0.05277,2.55513e-05,2.55513e-05,2.55513e-05
48,105.297,0.06287,0.96,1,0.05524,1.87678e-05,1.87678e-05,1.87678e-05
49,106.37,0.02606,0.98,1,0.04916,1.39032e-05,1.39032e-05,1.39032e-05
50,107.493,0.05856,0.98,1,0.04011,1.09768e-05,1.09768e-05,1.09768e-05
