epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.0572,0.62544,0.74,1,0.47838,0.00014,0.00014,0.08614
2,18.2605,0.42304,0.88,1,0.28129,0.000289717,0.000289717,0.0712897
3,20.4117,0.29759,0.94,1,0.21474,0.000438283,0.000438283,0.0564383
4,22.1735,0.25628,0.92,1,0.13274,0.000584827,0.000584827,0.0415848
5,26.2038,0.24225,0.94,1,0.11066,0.000728492,0.000728492,0.0267285
6,30.2474,0.20629,0.96,1,0.09216,0.000868438,0.000868438,0.0118684
7,34.2307,0.18599,0.92,1,0.10718,0.000965239,0.000965239,0.000965239
8,38.2187,0.17337,0.96,1,0.07585,0.000952889,0.000952889,0.000952889
9,42.1855,0.22047,0.96,1,0.08374,0.000938772,0.000938772,0.000938772
10,46.1792,0.13307,0.96,1,0.10987,0.000922942,0.000922942,0.000922942
11,50.2113,0.16551,0.98,1,0.05251,0.000905463,0.000905463,0.000905463
12,54.2288,0.14162,1,1,0.07698,0.000886404,0.000886404,0.000886404
13,58.2473,0.10678,0.94,1,0.08819,0.000865839,0.000865839,0.000865839
14,62.1047,0.1065,0.94,1,0.10616,0.000843851,0.000843851,0.000843851
15,65.8951,0.088,0.98,1,0.06893,0.000820525,0.000820525,0.000820525
16,69.6566,0.13238,0.98,1,0.05182,0.000795954,0.000795954,0.000795954
17,73.373,0.05428,0.94,1,0.08672,0.000770234,0.000770234,0.000770234
18,77.1091,0.10396,0.94,1,0.11337,0.000743468,0.000743468,0.000743468
19,80.856,0.10491,0.96,1,0.08476,0.000715761,0.000715761,0.000715761
20,84.617,0.19276,0.96,1,0.05046,0.000687222,0.000687222,0.000687222
21,88.3684,0.05979,1,1,0.04097,0.000657963,0.000657963,0.000657963
22,92.1324,0.05943,0.98,1,0.03895,0.000628101,0.000628101,0.000628101
23,95.903,0.04448,1,1,0.03628,0.000597754,0.000597754,0.000597754
24,99.6898,0.06627,0.98,1,0.03758,0.00056704,0.00056704,0.00056704
25,103.395,0.09399,0.98,1,0.04547,0.000536081,0.000536081,0.000536081
26,107.143,0.06115,0.98,1,0.05912,0.000505,0.000505,0.000505
27,110.911,0.09309,0.96,1,0.04247,0.000473919,0.000473919,0.000473919
28,114.669,0.089,1,1,0.04099,0.00044296,0.00044296,0.00044296
29,118.406,0.02899,1,1,0.0349,0.000412246,0.000412246,0.000412246
30,122.141,0.03779,1,1,0.03922,0.000381899,0.000381899,0.000381899
31,125.914,0.07124,1,1,0.04822,0.000352037,0.000352037,0.000352037
32,129.65,0.04306,0.98,1,0.05102,0.000322778,0.000322778,0.000322778
33,133.383,0.06205,0.98,1,0.04744,0.000294239,0.000294239,0.000294239
34,137.134,0.089,0.98,1,0.04653,0.000266532,0.000266532,0.000266532
35,140.881,0.03288,0.98,1,0.05699,0.000239766,0.000239766,0.000239766
36,144.631,0.04595,0.96,1,0.05034,0.000214046,0.000214046,0.000214046
37,148.338,0.04189,0.96,1,0.05532,0.000189475,0.000189475,0.000189475
38,152.095,0.05579,0.96,1,0.04956,0.000166149,0.000166149,0.000166149
39,155.874,0.04344,0.96,1,0.05858,0.000144161,0.000144161,0.000144161
40,159.617,0.05703,0.96,1,0.05156,0.000123596,0.000123596,0.000123596
41,209.168,0.07667,0.96,1,0.06166,0.000104537,0.000104537,0.000104537
42,210.383,0.02783,0.96,1,0.06049,8.70577e-05,8.70577e-05,8.70577e-05
43,211.813,0.02965,0.96,1,0.04514,7.12282e-05,7.12282e-05,7.12282e-05
44,213.094,0.03348,0.98,1,0.05344,5.71106e-05,5.71106e-05,5.71106e-05
45,214.359,0.03911,0.96,1,0.05777,4.47606e-05,4.47606e-05,4.47606e-05
46,215.813,0.04908,0.98,1,0.04821,3.4227e-05,3.4227e-05,3.4227e-05
47,219.588,0.0473,0.98,1,0.04634,2.55513e-05,2.55513e-05,2.55513e-05
48,223.353,0.05208,0.96,1,0.05183,1.87678e-05,1.87678e-05,1.87678e-05
49,227.086,0.02599,0.98,1,0.0424,1.39032e-05,1.39032e-05,1.39032e-05
50,230.834,0.0659,0.98,1,0.03669,1.09768e-05,1.09768e-05,1.09768e-05
