epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.8685,0.74855,0.77778,1,0.62301,2e-05,2e-05,0.09802
2,26.6791,0.50748,0.77778,1,0.54742,4.99512e-05,4.99512e-05,0.09505
3,27.2769,0.45562,0.88889,1,0.47572,7.96877e-05,7.96877e-05,0.0920797
4,27.8649,0.33034,0.88889,1,0.38183,0.000109036,0.000109036,0.089109
5,28.5692,0.20392,0.88889,1,0.30896,0.000137823,0.000137823,0.0861378
6,29.2115,0.15148,0.88889,1,0.27759,0.000165881,0.000165881,0.0831659
7,29.8472,0.40894,0.88889,1,0.23322,0.000193048,0.000193048,0.080193
8,30.4799,0.12302,0.88889,1,0.22876,0.000219165,0.000219165,0.0772192
9,31.6816,0.15477,0.88889,1,0.23892,0.000244081,0.000244081,0.0742441
10,32.2958,0.08353,0.88889,1,0.2539,0.000267653,0.000267653,0.0712677
11,33.0109,0.08017,0.88889,1,0.28408,0.000289748,0.000289748,0.0682897
12,33.635,0.083,0.88889,1,0.27284,0.000310241,0.000310241,0.0653102
13,34.3418,0.04851,0.88889,1,0.27241,0.000329019,0.000329019,0.062329
14,34.9636,0.03141,0.88889,1,0.25848,0.000345979,0.000345979,0.059346
15,35.5851,0.05094,0.88889,1,0.27019,0.000361031,0.000361031,0.056361
16,36.1518,0.05466,0.88889,1,0.27332,0.000374098,0.000374098,0.0533741
17,36.8325,0.03465,0.88889,1,0.30507,0.000385117,0.000385117,0.0503851
18,37.4127,0.1394,0.88889,1,0.29188,0.000394038,0.000394038,0.047394
19,38.3971,0.05423,0.88889,1,0.24175,0.000400826,0.000400826,0.0444008
20,38.9424,0.04742,0.88889,1,0.19868,0.000405461,0.000405461,0.0414055
21,39.5035,0.0221,0.88889,1,0.12933,0.000407937,0.000407937,0.0384079
22,40.0595,0.02155,0.88889,1,0.10114,0.000408266,0.000408266,0.0354083
23,40.68,0.01324,1,1,0.07345,0.000406473,0.000406473,0.0324065
24,41.306,0.00933,1,1,0.05645,0.000402598,0.000402598,0.0294026
25,41.8584,0.00971,1,1,0.05178,0.0003967,0.0003967,0.0263967
26,42.4193,0.01692,1,1,0.04986,0.00038885,0.00038885,0.0233889
27,42.9866,0.01309,1,1,0.03532,0.000379135,0.000379135,0.0203791
28,43.5581,0.01837,1,1,0.02899,0.000367657,0.000367657,0.0173677
29,44.0699,0.00354,1,1,0.02899,0.000354532,0.000354532,0.0143545
30,44.7006,0.02731,1,1,0.02778,0.00033989,0.00033989,0.0113399
31,45.2864,0.0134,1,1,0.04014,0.000323874,0.000323874,0.00832387
32,45.8364,0.00349,1,1,0.03667,0.000306639,0.000306639,0.00530664
33,46.3622,0.07018,1,1,0.03667,0.000288354,0.000288354,0.00228835
34,46.9086,0.17061,1,1,0.03497,0.000266532,0.000266532,0.000266532
35,47.4521,0.00834,1,1,0.03988,0.000239766,0.000239766,0.000239766
36,47.9891,0.04728,1,1,0.04669,0.000214046,0.000214046,0.000214046
37,48.5371,0.00268,1,1,0.04669,0.000189475,0.000189475,0.000189475
38,49.6778,0.00384,1,1,0.0437,0.000166149,0.000166149,0.000166149
39,50.2418,0.00664,1,1,0.0591,0.000144161,0.000144161,0.000144161
40,50.7849,0.03442,1,1,0.05848,0.000123596,0.000123596,0.000123596
41,62.6095,0.01246,1,1,0.05848,0.000104537,0.000104537,0.000104537
42,63.2178,0.01326,1,1,0.07578,8.70577e-05,8.70577e-05,8.70577e-05
43,63.8003,0.00715,1,1,0.04621,7.12282e-05,7.12282e-05,7.12282e-05
44,64.3293,0.00331,1,1,0.04587,5.71106e-05,5.71106e-05,5.71106e-05
45,64.8625,0.03828,1,1,0.04587,4.47606e-05,4.47606e-05,4.47606e-05
46,65.4264,0.02544,1,1,0.03421,3.4227e-05,3.4227e-05,3.4227e-05
47,66.0199,0.0394,1,1,0.03871,2.55513e-05,2.55513e-05,2.55513e-05
48,66.5773,0.05284,1,1,0.05124,1.87678e-05,1.87678e-05,1.87678e-05
49,67.1434,0.03035,1,1,0.05124,1.39032e-05,1.39032e-05,1.39032e-05
50,67.7632,0.02831,1,1,0.07205,1.09768e-05,1.09768e-05,1.09768e-05
