epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.7002,0.55598,0.78626,1,0.46804,0.000331884,0.000331884,0.0671435
2,61.2341,0.49102,0.83333,1,0.40728,0.000664568,0.000664568,0.0341428
3,76.1898,0.45247,0.81298,1,0.41679,0.000994653,0.000994653,0.00113958
4,91.4407,0.41894,0.8117,1,0.45123,0.000991232,0.000991232,0.000991232
5,106.021,0.40986,0.85623,1,0.31042,0.000984449,0.000984449,0.000984449
6,134.121,0.37105,0.88041,1,0.27406,0.000975773,0.000975773,0.000975773
7,158.554,0.35214,0.86641,1,0.3157,0.000965239,0.000965239,0.000965239
8,180.274,0.32087,0.88931,1,0.28405,0.000952889,0.000952889,0.000952889
9,198.762,0.31353,0.87277,1,0.28802,0.000938772,0.000938772,0.000938772
10,227.428,0.2975,0.87532,1,0.29725,0.000922942,0.000922942,0.000922942
11,245.446,0.28879,0.8944,1,0.27407,0.000905463,0.000905463,0.000905463
12,270.094,0.27555,0.89186,1,0.26504,0.000886404,0.000886404,0.000886404
13,299.645,0.25654,0.88677,1,0.26722,0.000865839,0.000865839,0.000865839
14,327.243,0.24861,0.89313,1,0.26929,0.000843851,0.000843851,0.000843851
15,348.296,0.23387,0.89822,1,0.245,0.000820525,0.000820525,0.000820525
16,371.654,0.24213,0.9084,1,0.25163,0.000795954,0.000795954,0.000795954
17,389.309,0.2211,0.89059,1,0.26705,0.000770234,0.000770234,0.000770234
18,412.502,0.2094,0.90458,1,0.22672,0.000743468,0.000743468,0.000743468
19,428.832,0.20477,0.90331,1,0.26318,0.000715761,0.000715761,0.000715761
20,451.317,0.19867,0.91221,1,0.22509,0.000687222,0.000687222,0.000687222
21,466.009,0.19066,0.89949,1,0.25582,0.000657963,0.000657963,0.000657963
22,481.51,0.18344,0.9173,1,0.23072,0.000628101,0.000628101,0.000628101
23,508.196,0.16683,0.9173,1,0.21236,0.000597754,0.000597754,0.000597754
24,522.814,0.19779,0.91476,1,0.22205,0.00056704,0.00056704,0.00056704
25,545.82,0.17729,0.91476,1,0.22328,0.000536081,0.000536081,0.000536081
26,565.097,0.15892,0.91858,1,0.22853,0.000505,0.000505,0.000505
27,579.629,0.15116,0.91603,1,0.21024,0.000473919,0.000473919,0.000473919
28,595.104,0.14855,0.92112,1,0.19688,0.00044296,0.00044296,0.00044296
29,609.522,0.14303,0.91858,1,0.20828,0.000412246,0.000412246,0.000412246
30,623.945,0.14161,0.92112,1,0.21195,0.000381899,0.000381899,0.000381899
31,638.219,0.13431,0.91985,1,0.23782,0.000352037,0.000352037,0.000352037
32,653.181,0.12867,0.93003,1,0.23276,0.000322778,0.000322778,0.000322778
33,667.457,0.12405,0.92239,1,0.23136,0.000294239,0.000294239,0.000294239
34,681.819,0.11032,0.93511,1,0.19869,0.000266532,0.000266532,0.000266532
35,697.571,0.12693,0.92621,1,0.224,0.000239766,0.000239766,0.000239766
36,712.109,0.11314,0.92748,1,0.2068,0.000214046,0.000214046,0.000214046
37,726.618,0.10962,0.9313,1,0.20559,0.000189475,0.000189475,0.000189475
38,741.244,0.11259,0.92112,1,0.20582,0.000166149,0.000166149,0.000166149
39,755.749,0.10576,0.92239,1,0.20166,0.000144161,0.000144161,0.000144161
40,770.661,0.11405,0.93003,1,0.21188,0.000123596,0.000123596,0.000123596
41,846.339,0.10543,0.92621,1,0.20038,0.000104537,0.000104537,0.000104537
42,874.028,0.10789,0.92239,1,0.21049,8.70577e-05,8.70577e-05,8.70577e-05
43,905.196,0.09369,0.92748,1,0.23312,7.12282e-05,7.12282e-05,7.12282e-05
44,926.753,0.08729,0.92748,1,0.21024,5.71106e-05,5.71106e-05,5.71106e-05
45,948.903,0.09031,0.93003,1,0.20625,4.47606e-05,4.47606e-05,4.47606e-05
46,970.889,0.10154,0.92494,1,0.23438,3.4227e-05,3.4227e-05,3.4227e-05
47,992.948,0.09633,0.92112,1,0.2135,2.55513e-05,2.55513e-05,2.55513e-05
48,1020.4,0.08852,0.92748,1,0.21547,1.87678e-05,1.87678e-05,1.87678e-05
49,1050.41,0.09681,0.93003,1,0.21727,1.39032e-05,1.39032e-05,1.39032e-05
50,1066.34,0.08647,0.92366,1,0.21695,1.09768e-05,1.09768e-05,1.09768e-05
