epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.8146,0.60947,0.92,1,0.40876,0.00014,0.00014,0.08614
2,19.2406,0.41669,0.84,1,0.29537,0.000289717,0.000289717,0.0712897
3,20.4758,0.35148,0.88,1,0.24805,0.000438283,0.000438283,0.0564383
4,22.0785,0.29213,0.9,1,0.21274,0.000584827,0.000584827,0.0415848
5,23.6809,0.2704,0.94,1,0.18159,0.000728492,0.000728492,0.0267285
6,24.9377,0.25012,0.94,1,0.15562,0.000868438,0.000868438,0.0118684
7,26.1668,0.19005,0.98,1,0.1037,0.000965239,0.000965239,0.000965239
8,27.4099,0.21126,0.96,1,0.11104,0.000952889,0.000952889,0.000952889
9,28.4918,0.23996,0.94,1,0.16377,0.000938772,0.000938772,0.000938772
10,29.5921,0.20445,0.94,1,0.1386,0.000922942,0.000922942,0.000922942
11,31.1222,0.16017,0.94,1,0.14796,0.000905463,0.000905463,0.000905463
12,32.2226,0.12905,0.98,1,0.10364,0.000886404,0.000886404,0.000886404
13,33.413,0.1159,0.98,1,0.06902,0.000865839,0.000865839,0.000865839
14,34.5175,0.08517,0.98,1,0.05944,0.000843851,0.000843851,0.000843851
15,35.6847,0.08858,0.98,1,0.04311,0.000820525,0.000820525,0.000820525
16,38.2824,0.08796,0.98,1,0.04153,0.000795954,0.000795954,0.000795954
17,39.3338,0.09598,0.98,1,0.05152,0.000770234,0.000770234,0.000770234
18,40.4279,0.1193,0.98,1,0.04649,0.000743468,0.000743468,0.000743468
19,41.9521,0.06769,0.98,1,0.05108,0.000715761,0.000715761,0.000715761
20,43.6993,0.14357,0.98,1,0.04904,0.000687222,0.000687222,0.000687222
21,44.7807,0.07225,0.98,1,0.08641,0.000657963,0.000657963,0.000657963
22,45.9288,0.07226,0.98,1,0.05152,0.000628101,0.000628101,0.000628101
23,47.0924,0.07814,0.98,1,0.06018,0.000597754,0.000597754,0.000597754
24,48.3716,0.04439,0.98,1,0.03243,0.00056704,0.00056704,0.00056704
25,50.1475,0.06496,0.98,1,0.02809,0.000536081,0.000536081,0.000536081
26,51.244,0.07218,1,1,0.02612,0.000505,0.000505,0.000505
27,53.0943,0.12117,0.98,1,0.0325,0.000473919,0.000473919,0.000473919
28,54.2318,0.07179,0.98,1,0.02136,0.00044296,0.00044296,0.00044296
29,55.3201,0.05746,0.98,1,0.02405,0.000412246,0.000412246,0.000412246
30,56.4126,0.02601,0.98,1,0.07072,0.000381899,0.000381899,0.000381899
31,57.5284,0.05785,0.98,1,0.05085,0.000352037,0.000352037,0.000352037
32,59.7065,0.03746,0.96,1,0.05893,0.000322778,0.000322778,0.000322778
33,60.8199,0.05517,0.96,1,0.08491,0.000294239,0.000294239,0.000294239
34,62.0052,0.10008,0.96,1,0.10161,0.000266532,0.000266532,0.000266532
35,63.1323,0.03377,0.96,1,0.10426,0.000239766,0.000239766,0.000239766
36,64.2622,0.03314,0.96,1,0.08796,0.000214046,0.000214046,0.000214046
37,65.3233,0.04424,0.96,1,0.09927,0.000189475,0.000189475,0.000189475
38,66.5229,0.09314,0.96,1,0.0737,0.000166149,0.000166149,0.000166149
39,67.6205,0.04552,0.96,1,0.07644,0.000144161,0.000144161,0.000144161
40,68.8223,0.07347,0.96,1,0.05403,0.000123596,0.000123596,0.000123596
41,117.098,0.04857,0.98,1,0.04713,0.000104537,0.000104537,0.000104537
42,118.401,0.02731,0.98,1,0.06482,8.70577e-05,8.70577e-05,8.70577e-05
43,119.487,0.04857,0.98,1,0.04382,7.12282e-05,7.12282e-05,7.12282e-05
44,120.627,0.02365,0.98,1,0.03678,5.71106e-05,5.71106e-05,5.71106e-05
45,121.698,0.04174,0.98,1,0.03339,4.47606e-05,4.47606e-05,4.47606e-05
46,122.896,0.05326,0.98,1,0.04638,3.4227e-05,3.4227e-05,3.4227e-05
47,124.239,0.02684,0.98,1,0.02862,2.55513e-05,2.55513e-05,2.55513e-05
48,125.403,0.05344,0.98,1,0.03024,1.87678e-05,1.87678e-05,1.87678e-05
49,126.536,0.03513,0.98,1,0.04871,1.39032e-05,1.39032e-05,1.39032e-05
50,127.766,0.06073,0.98,1,0.0302,1.09768e-05,1.09768e-05,1.09768e-05
