epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.2214,0.60885,0.9,1,0.41117,0.00014,0.00014,0.08614
2,22.3226,0.41739,0.84,1,0.30337,0.000289717,0.000289717,0.0712897
3,25.5978,0.35444,0.88,1,0.24344,0.000438283,0.000438283,0.0564383
4,27.8734,0.29347,0.9,1,0.21296,0.000584827,0.000584827,0.0415848
5,30.2418,0.27686,0.92,1,0.18315,0.000728492,0.000728492,0.0267285
6,32.602,0.25329,0.94,1,0.14826,0.000868438,0.000868438,0.0118684
7,35.4487,0.19289,0.98,1,0.10587,0.000965239,0.000965239,0.000965239
8,39.8058,0.21647,0.98,1,0.11125,0.000952889,0.000952889,0.000952889
9,43.9863,0.24569,0.94,1,0.15272,0.000938772,0.000938772,0.000938772
10,48.1623,0.20662,0.94,1,0.14507,0.000922942,0.000922942,0.000922942
11,52.4192,0.15784,0.94,1,0.1641,0.000905463,0.000905463,0.000905463
12,56.7074,0.13192,0.98,1,0.1202,0.000886404,0.000886404,0.000886404
13,60.9128,0.1154,0.98,1,0.08183,0.000865839,0.000865839,0.000865839
14,65.0832,0.08202,0.98,1,0.06926,0.000843851,0.000843851,0.000843851
15,69.2184,0.083,0.98,1,0.0537,0.000820525,0.000820525,0.000820525
16,73.3957,0.09754,0.98,1,0.05641,0.000795954,0.000795954,0.000795954
17,77.4473,0.09483,0.98,1,0.06762,0.000770234,0.000770234,0.000770234
18,81.5594,0.1155,0.98,1,0.05943,0.000743468,0.000743468,0.000743468
19,85.6882,0.0872,0.98,1,0.06264,0.000715761,0.000715761,0.000715761
20,89.7766,0.13502,0.98,1,0.04609,0.000687222,0.000687222,0.000687222
21,93.8171,0.07859,0.98,1,0.0883,0.000657963,0.000657963,0.000657963
22,97.8832,0.06978,0.98,1,0.05457,0.000628101,0.000628101,0.000628101
23,102.003,0.06718,0.98,1,0.08,0.000597754,0.000597754,0.000597754
24,106.186,0.05269,0.98,1,0.04499,0.00056704,0.00056704,0.00056704
25,110.361,0.06373,0.98,1,0.04068,0.000536081,0.000536081,0.000536081
26,114.45,0.05644,1,1,0.04117,0.000505,0.000505,0.000505
27,118.561,0.11335,0.98,1,0.04388,0.000473919,0.000473919,0.000473919
28,122.706,0.06679,0.98,1,0.03334,0.00044296,0.00044296,0.00044296
29,126.742,0.04134,0.98,1,0.03938,0.000412246,0.000412246,0.000412246
30,130.809,0.02591,0.96,1,0.0952,0.000381899,0.000381899,0.000381899
31,134.874,0.06212,0.96,1,0.08329,0.000352037,0.000352037,0.000352037
32,139.247,0.04007,0.96,1,0.09675,0.000322778,0.000322778,0.000322778
33,143.472,0.04825,0.96,1,0.1256,0.000294239,0.000294239,0.000294239
34,147.767,0.11666,0.96,1,0.13914,0.000266532,0.000266532,0.000266532
35,152.388,0.03235,0.96,1,0.12471,0.000239766,0.000239766,0.000239766
36,156.664,0.03462,0.96,1,0.10053,0.000214046,0.000214046,0.000214046
37,160.91,0.04075,0.96,1,0.11271,0.000189475,0.000189475,0.000189475
38,165.127,0.09635,0.96,1,0.08758,0.000166149,0.000166149,0.000166149
39,169.395,0.04141,0.96,1,0.08845,0.000144161,0.000144161,0.000144161
40,173.573,0.07437,0.96,1,0.06167,0.000123596,0.000123596,0.000123596
