epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,106.908,1.25624,0.58882,0.98443,1.04391,0.000332526,0.000332526,0.0670799
2,193.843,1.0086,0.68648,0.99222,0.81791,0.000665697,0.000665697,0.0340797
3,273.565,0.92033,0.72682,0.99222,0.76553,0.000998217,0.000998217,0.00107893
4,311.809,0.84803,0.74027,0.99434,0.72396,0.000997803,0.000997803,0.000997803
5,338.886,0.753,0.76221,0.99646,0.66793,0.000996097,0.000996097,0.000996097
6,368.768,0.71952,0.76575,0.99575,0.63103,0.000993906,0.000993906,0.000993906
7,401.113,0.65826,0.80892,0.99646,0.57967,0.000991232,0.000991232,0.000991232
8,433.535,0.61751,0.82519,0.99717,0.50422,0.000988079,0.000988079,0.000988079
9,463.742,0.58692,0.81741,0.99575,0.51759,0.000984449,0.000984449,0.000984449
10,489.592,0.5561,0.8351,0.99717,0.46922,0.000980345,0.000980345,0.000980345
11,512.975,0.51909,0.84926,0.99717,0.42885,0.000975773,0.000975773,0.000975773
12,536.345,0.51725,0.81883,0.99858,0.50531,0.000970736,0.000970736,0.000970736
13,559.497,0.48188,0.85067,0.99929,0.41594,0.000965239,0.000965239,0.000965239
14,582.765,0.456,0.86412,0.99646,0.3975,0.000959289,0.000959289,0.000959289
15,606.044,0.44804,0.86624,1,0.39666,0.000952889,0.000952889,0.000952889
16,629.569,0.42811,0.87261,0.99788,0.37023,0.000946048,0.000946048,0.000946048
17,652.855,0.41062,0.86766,0.99858,0.39623,0.000938772,0.000938772,0.000938772
18,675.536,0.38657,0.86695,0.99788,0.38888,0.000931067,0.000931067,0.000931067
19,698.842,0.39695,0.85633,0.99858,0.40644,0.000922942,0.000922942,0.000922942
20,722.118,0.37083,0.87615,0.99788,0.37122,0.000914405,0.000914405,0.000914405
21,747.26,0.35678,0.87827,0.99858,0.40214,0.000905463,0.000905463,0.000905463
22,778.538,0.35497,0.88677,0.99929,0.35123,0.000896127,0.000896127,0.000896127
23,806.819,0.34502,0.88747,0.99788,0.34443,0.000886404,0.000886404,0.000886404
24,834.954,0.3392,0.87898,0.99858,0.36876,0.000876305,0.000876305,0.000876305
25,862.902,0.31979,0.87827,0.99788,0.37001,0.000865839,0.000865839,0.000865839
26,891.215,0.31152,0.88393,0.99788,0.34824,0.000855018,0.000855018,0.000855018
27,918.183,0.30585,0.8811,1,0.35176,0.000843851,0.000843851,0.000843851
28,946.193,0.30335,0.90021,1,0.31267,0.000832349,0.000832349,0.000832349
29,973.473,0.27923,0.90092,0.99929,0.30817,0.000820525,0.000820525,0.000820525
30,998.844,0.28514,0.88818,0.99788,0.33475,0.000808389,0.000808389,0.000808389
31,1022.78,0.2729,0.89243,0.99858,0.30641,0.000795954,0.000795954,0.000795954
32,1047.28,0.26928,0.88889,0.99858,0.35577,0.000783231,0.000783231,0.000783231
33,1076.01,0.26787,0.89738,1,0.30695,0.000770234,0.000770234,0.000770234
34,1106.5,0.25707,0.89384,0.99929,0.30124,0.000756976,0.000756976,0.000756976
35,1132.28,0.23655,0.89738,1,0.29382,0.000743468,0.000743468,0.000743468
36,1158.69,0.24185,0.8903,0.99858,0.33541,0.000729725,0.000729725,0.000729725
37,1186.11,0.22869,0.90021,1,0.31168,0.000715761,0.000715761,0.000715761
38,1215.36,0.21154,0.90021,0.99929,0.32612,0.000701588,0.000701588,0.000701588
39,1240.75,0.2228,0.89667,0.99929,0.31139,0.000687222,0.000687222,0.000687222
40,1265.06,0.21916,0.90587,0.99929,0.31789,0.000672675,0.000672675,0.000672675
41,1292.18,0.22065,0.8995,0.99929,0.30826,0.000657963,0.000657963,0.000657963
42,1319.77,0.2147,0.90375,0.99858,0.32872,0.000643101,0.000643101,0.000643101
43,1350.27,0.1973,0.8995,0.99858,0.31487,0.000628101,0.000628101,0.000628101
44,1381.57,0.19911,0.90304,1,0.29367,0.000612981,0.000612981,0.000612981
45,1409.32,0.18695,0.90658,0.99929,0.27206,0.000597754,0.000597754,0.000597754
46,1444.86,0.18207,0.90021,1,0.31049,0.000582435,0.000582435,0.000582435
47,1476.19,0.18567,0.90941,1,0.29538,0.00056704,0.00056704,0.00056704
48,1506.47,0.18193,0.91083,1,0.28468,0.000551584,0.000551584,0.000551584
49,1536.64,0.17779,0.91083,1,0.28099,0.000536081,0.000536081,0.000536081
50,1566.98,0.16771,0.90658,1,0.30195,0.000520548,0.000520548,0.000520548
51,1598.07,0.16211,0.9087,1,0.29508,0.000505,0.000505,0.000505
52,1628.38,0.16866,0.91083,1,0.29805,0.000489452,0.000489452,0.000489452
53,1658.26,0.16434,0.90658,1,0.29805,0.000473919,0.000473919,0.000473919
54,1688.72,0.16469,0.90729,0.99929,0.29505,0.000458416,0.000458416,0.000458416
55,1718.83,0.15694,0.90658,1,0.29296,0.00044296,0.00044296,0.00044296
56,1749.89,0.1472,0.908,1,0.32986,0.000427565,0.000427565,0.000427565
57,1780.23,0.13861,0.91366,0.99929,0.28834,0.000412246,0.000412246,0.000412246
58,1809.3,0.14984,0.91578,1,0.28501,0.000397019,0.000397019,0.000397019
59,1841.57,0.13873,0.91295,1,0.30514,0.000381899,0.000381899,0.000381899
60,1868.87,0.13479,0.91154,1,0.30606,0.000366899,0.000366899,0.000366899
61,1896.67,0.1258,0.91649,1,0.28838,0.000352037,0.000352037,0.000352037
62,1924.61,0.1292,0.91649,1,0.29047,0.000337325,0.000337325,0.000337325
63,1954.02,0.1193,0.91578,1,0.2891,0.000322778,0.000322778,0.000322778
64,1978.59,0.12215,0.91154,1,0.28943,0.000308412,0.000308412,0.000308412
65,2003.57,0.1158,0.91507,1,0.31609,0.000294239,0.000294239,0.000294239
66,2028.42,0.10936,0.92003,1,0.27473,0.000280275,0.000280275,0.000280275
67,2055.38,0.11358,0.91791,1,0.27661,0.000266532,0.000266532,0.000266532
68,2084.07,0.10628,0.91649,1,0.28954,0.000253024,0.000253024,0.000253024
69,2114.43,0.10909,0.91224,1,0.30521,0.000239766,0.000239766,0.000239766
70,2145.72,0.10965,0.91507,1,0.29068,0.000226769,0.000226769,0.000226769
71,2176.76,0.10546,0.91366,1,0.30471,0.000214046,0.000214046,0.000214046
72,2207.47,0.10004,0.91649,1,0.29801,0.000201611,0.000201611,0.000201611
73,2239.06,0.09714,0.92074,1,0.28241,0.000189475,0.000189475,0.000189475
74,2269.57,0.10305,0.91791,1,0.28953,0.000177651,0.000177651,0.000177651
75,2298.78,0.10099,0.92144,1,0.28609,0.000166149,0.000166149,0.000166149
76,2324.44,0.0957,0.9172,1,0.29445,0.000154982,0.000154982,0.000154982
77,2350.33,0.10275,0.92003,1,0.2829,0.000144161,0.000144161,0.000144161
78,2377.1,0.0977,0.92498,1,0.27376,0.000133695,0.000133695,0.000133695
79,2407.84,0.08845,0.92144,1,0.28182,0.000123596,0.000123596,0.000123596
80,2436.72,0.09028,0.92074,1,0.2911,0.000113873,0.000113873,0.000113873
81,2466.72,0.10901,0.92215,1,0.27878,0.000104537,0.000104537,0.000104537
82,2496.66,0.09295,0.91861,1,0.27451,9.55951e-05,9.55951e-05,9.55951e-05
83,2526,0.08928,0.91791,1,0.27431,8.70577e-05,8.70577e-05,8.70577e-05
84,2556.49,0.08593,0.92003,1,0.27542,7.89327e-05,7.89327e-05,7.89327e-05
85,2586.47,0.07161,0.91861,1,0.27558,7.12282e-05,7.12282e-05,7.12282e-05
86,2616,0.07633,0.91791,1,0.2796,6.39518e-05,6.39518e-05,6.39518e-05
87,2646.24,0.0808,0.91861,1,0.27662,5.71106e-05,5.71106e-05,5.71106e-05
88,2675.34,0.0789,0.91791,1,0.27379,5.07115e-05,5.07115e-05,5.07115e-05
89,2704.52,0.08112,0.91932,1,0.27802,4.47606e-05,4.47606e-05,4.47606e-05
90,2730.82,0.07788,0.92003,1,0.27348,3.9264e-05,3.9264e-05,3.9264e-05
91,2903.33,0.07894,0.91932,1,0.28365,3.4227e-05,3.4227e-05,3.4227e-05
92,2994.58,0.09748,0.91932,1,0.28965,2.96546e-05,2.96546e-05,2.96546e-05
93,3083.4,0.08116,0.92144,1,0.27818,2.55513e-05,2.55513e-05,2.55513e-05
94,3172.39,0.07543,0.92286,1,0.26911,2.19212e-05,2.19212e-05,2.19212e-05
95,3257.93,0.07765,0.92286,1,0.26968,1.87678e-05,1.87678e-05,1.87678e-05
96,3354.55,0.08056,0.92286,1,0.28856,1.60943e-05,1.60943e-05,1.60943e-05
97,3430.47,0.07819,0.92144,1,0.26871,1.39032e-05,1.39032e-05,1.39032e-05
98,3456.9,0.07202,0.92003,1,0.27518,1.21968e-05,1.21968e-05,1.21968e-05
99,3483.64,0.07799,0.91932,1,0.32107,1.09768e-05,1.09768e-05,1.09768e-05
100,3509.93,0.07686,0.91932,1,0.26889,1.02443e-05,1.02443e-05,1.02443e-05
